2026-02-03 00:06:47.345917 -Reason : Allowed Packet : 192.168.0.139 - Packet :{'source_ip': '192.168.0.139', 'destination_ip': '10.10.180.254', 'port': 18709, 'protocol': 'UDP'} 
2026-02-03 00:06:47.703446 -Reason : Allowed Packet : 192.168.215.116 - Packet :{'source_ip': '192.168.215.116', 'destination_ip': '10.10.164.20', 'port': 55578, 'protocol': 'UDP'} 
2026-02-03 00:06:48.347540 -Reason : Allowed Packet : 192.168.221.84 - Packet :{'source_ip': '192.168.221.84', 'destination_ip': '10.10.18.145', 'port': 14610, 'protocol': 'ICMP'} 
2026-02-03 00:06:48.706954 -Reason : Allowed Packet : 192.168.66.119 - Packet :{'source_ip': '192.168.66.119', 'destination_ip': '10.10.101.186', 'port': 64238, 'protocol': 'ICMP'} 
2026-02-03 00:06:49.351132 -Reason : Allowed Packet : 192.168.204.6 - Packet :{'source_ip': '192.168.204.6', 'destination_ip': '10.10.25.86', 'port': 26336, 'protocol': 'TCP'} 
2026-02-03 00:06:49.709898 -Reason : Allowed Packet : 192.168.174.101 - Packet :{'source_ip': '192.168.174.101', 'destination_ip': '10.10.127.24', 'port': 28888, 'protocol': 'TCP'} 
2026-02-03 00:06:50.353826 -Reason : Allowed Packet : 192.168.25.189 - Packet :{'source_ip': '192.168.25.189', 'destination_ip': '10.10.157.151', 'port': 5170, 'protocol': 'UDP'} 
2026-02-03 00:06:50.714633 -Reason : Allowed Packet : 192.168.56.71 - Packet :{'source_ip': '192.168.56.71', 'destination_ip': '10.10.42.207', 'port': 21787, 'protocol': 'ICMP'} 
2026-02-03 00:06:51.357309 -Reason : Allowed Packet : 192.168.136.230 - Packet :{'source_ip': '192.168.136.230', 'destination_ip': '10.10.216.61', 'port': 57178, 'protocol': 'UDP'} 
2026-02-03 00:06:51.718602 -Reason : Allowed Packet : 192.168.87.93 - Packet :{'source_ip': '192.168.87.93', 'destination_ip': '10.10.153.65', 'port': 57988, 'protocol': 'UDP'} 
2026-02-03 00:06:52.358938 -Reason : Allowed Packet : 192.168.53.149 - Packet :{'source_ip': '192.168.53.149', 'destination_ip': '10.10.174.68', 'port': 61080, 'protocol': 'TCP'} 
2026-02-03 00:06:52.719300 -Reason : Allowed Packet : 192.168.239.213 - Packet :{'source_ip': '192.168.239.213', 'destination_ip': '10.10.189.73', 'port': 33398, 'protocol': 'UDP'} 
2026-02-03 00:06:53.364790 -Reason : Allowed Packet : 192.168.79.254 - Packet :{'source_ip': '192.168.79.254', 'destination_ip': '10.10.130.252', 'port': 55554, 'protocol': 'TCP'} 
2026-02-03 00:06:53.726058 -Reason : Allowed Packet : 192.168.56.154 - Packet :{'source_ip': '192.168.56.154', 'destination_ip': '10.10.173.72', 'port': 8250, 'protocol': 'UDP'} 
2026-02-03 00:06:54.374346 -Reason : Allowed Packet : 192.168.158.131 - Packet :{'source_ip': '192.168.158.131', 'destination_ip': '10.10.216.23', 'port': 51302, 'protocol': 'TCP'} 
2026-02-03 00:06:54.729810 -Reason : Allowed Packet : 192.168.184.61 - Packet :{'source_ip': '192.168.184.61', 'destination_ip': '10.10.220.203', 'port': 5096, 'protocol': 'ICMP'} 
2026-02-03 00:06:55.387320 -Reason : Allowed Packet : 192.168.107.159 - Packet :{'source_ip': '192.168.107.159', 'destination_ip': '10.10.146.111', 'port': 22551, 'protocol': 'UDP'} 
2026-02-03 00:06:55.732317 -Reason : Allowed Packet : 192.168.159.212 - Packet :{'source_ip': '192.168.159.212', 'destination_ip': '10.10.0.190', 'port': 19405, 'protocol': 'ICMP'} 
2026-02-03 00:06:56.389654 -Reason : Allowed Packet : 192.168.102.32 - Packet :{'source_ip': '192.168.102.32', 'destination_ip': '10.10.112.22', 'port': 21541, 'protocol': 'UDP'} 
2026-02-03 00:06:56.735818 -Reason : Allowed Packet : 192.168.86.113 - Packet :{'source_ip': '192.168.86.113', 'destination_ip': '10.10.152.90', 'port': 62276, 'protocol': 'TCP'} 
2026-02-03 00:06:57.394505 -Reason : Allowed Packet : 192.168.126.222 - Packet :{'source_ip': '192.168.126.222', 'destination_ip': '10.10.87.191', 'port': 5478, 'protocol': 'ICMP'} 
2026-02-03 00:06:57.740484 -Reason : Allowed Packet : 192.168.168.50 - Packet :{'source_ip': '192.168.168.50', 'destination_ip': '10.10.73.251', 'port': 2609, 'protocol': 'ICMP'} 
2026-02-03 00:06:58.398588 -Reason : Allowed Packet : 192.168.152.119 - Packet :{'source_ip': '192.168.152.119', 'destination_ip': '10.10.178.8', 'port': 40050, 'protocol': 'ICMP'} 
2026-02-03 00:06:58.743922 -Reason : Allowed Packet : 192.168.14.68 - Packet :{'source_ip': '192.168.14.68', 'destination_ip': '10.10.141.94', 'port': 11844, 'protocol': 'TCP'} 
2026-02-03 00:06:59.401284 -Reason : Allowed Packet : 192.168.236.90 - Packet :{'source_ip': '192.168.236.90', 'destination_ip': '10.10.219.154', 'port': 42001, 'protocol': 'ICMP'} 
2026-02-03 00:06:59.747963 -Reason : Allowed Packet : 192.168.66.200 - Packet :{'source_ip': '192.168.66.200', 'destination_ip': '10.10.18.136', 'port': 35098, 'protocol': 'UDP'} 
2026-02-03 00:07:00.405889 -Reason : Allowed Packet : 192.168.144.113 - Packet :{'source_ip': '192.168.144.113', 'destination_ip': '10.10.94.234', 'port': 46339, 'protocol': 'UDP'} 
2026-02-03 00:07:00.750615 -Reason : Allowed Packet : 192.168.90.139 - Packet :{'source_ip': '192.168.90.139', 'destination_ip': '10.10.187.85', 'port': 24220, 'protocol': 'TCP'} 
