2026-02-03 00:06:47.344910 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.0.139', 'destination_ip': '10.10.180.254', 'port': 18709, 'protocol': 'UDP'} 
2026-02-03 00:06:47.702903 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.215.116', 'destination_ip': '10.10.164.20', 'port': 55578, 'protocol': 'UDP'} 
2026-02-03 00:06:48.347540 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.221.84', 'destination_ip': '10.10.18.145', 'port': 14610, 'protocol': 'ICMP'} 
2026-02-03 00:06:48.704953 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.66.119', 'destination_ip': '10.10.101.186', 'port': 64238, 'protocol': 'ICMP'} 
2026-02-03 00:06:49.349117 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.204.6', 'destination_ip': '10.10.25.86', 'port': 26336, 'protocol': 'TCP'} 
2026-02-03 00:06:49.709256 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.174.101', 'destination_ip': '10.10.127.24', 'port': 28888, 'protocol': 'TCP'} 
2026-02-03 00:06:50.351823 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.25.189', 'destination_ip': '10.10.157.151', 'port': 5170, 'protocol': 'UDP'} 
2026-02-03 00:06:50.713633 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.56.71', 'destination_ip': '10.10.42.207', 'port': 21787, 'protocol': 'ICMP'} 
2026-02-03 00:06:51.356310 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.136.230', 'destination_ip': '10.10.216.61', 'port': 57178, 'protocol': 'UDP'} 
2026-02-03 00:06:51.717292 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.87.93', 'destination_ip': '10.10.153.65', 'port': 57988, 'protocol': 'UDP'} 
2026-02-03 00:06:52.357932 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.53.149', 'destination_ip': '10.10.174.68', 'port': 61080, 'protocol': 'TCP'} 
2026-02-03 00:06:52.719300 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.239.213', 'destination_ip': '10.10.189.73', 'port': 33398, 'protocol': 'UDP'} 
